tt4354740	Dharam Sankat Mein	3.875	2	5	1	4/10/2015	1	6.2	1455518	100000000
tt4007558	Shaandaar	2	2	5	13	10/22/2015	1, 2, 3	3.6	12527774	510000000
tt4323504	Jazbaa	4	3	5	3	10/9/2015	7, 5, 2	5.8	8125557	331900000
tt3696192	Singh Is Bliing	4.2	2.5	5	9	10/2/2015	7, 1, 2	5.5	2274654	1162700000
tt4897908	Calendar Girls	2	3	1	9	9/25/2015	2	4	2935407	300000000
tt4302956	Kis Kisko Pyaar Karu	2	2	5	1	9/25/2015	1, 3	6	5851719	190000000
tt3619710	Bhaag Johnny	2.5	2	5	2	9/25/2015	7, 8	5.1	3387973	400000000
tt2631186	Baahubali: The Beginning	4	4	3	25	7/10/2015	7, 6, 2	8.5	14098423	6000000000
tt3948240	Second Hand Husband	3.5	3	5	1	7/3/2015	1	4	1414276	50000000
tt3742284	Nh10	2	2	5	1	3/13/2015	7, 5, 2	7.2	6142773	330000000
tt4332114	Dolly Ki Doli	3.75	2	5	2	1/23/2015	1, 3	4.6	2680347	192100000
tt3422462	Bangistan	3.5	2	5	2	8/7/2015	1	4.5	2749407	54600000
tt4272420	Kuch Kuch Locha Hai	2	2	5	1	5/8/2015	1, 2	2.7	6488394	35000000
tt2140465	Tanu Weds Manu Returns	3.5	3.5	5	3	5/22/2015	1, 2, 3	7.8	9128403	2430000000
tt3447364	Detective Byomkesh Bakshy!	3.5	4.5	5	3	4/3/2015	7, 17, 8	7.8	3269226	360000000
tt4338154	Hawaizaada	2	2	5	2	1/30/2015	4, 2, 18	5.7	2488899	35000000
tt2202086	Ab Tak Chhappan 2	2	2.5	1	1	2/27/2015	7, 5	5.8	711769	66400000
tt3679000	Any Body Can Dance 2	2.5	2.5	3	6	6/19/2015	9	5.6	614646	1570000000
tt2424988	Gabbar is Back	4.2	3.5	5	7	5/1/2015	7, 5, 2	7.3	5657011	1054800000
tt3802576	Brothers	4.2	2	3	8	8/14/2015	7, 2, 12	6.8	11696857	1226200000
tt3848892	Baby	4.2	4.5	3	5	1/23/2015	7, 5, 8	8.2	8444760	1250000000
tt4684028	Guddu Rangeela	2.75	2	5	1	7/3/2015	1, 2	5.3	1974110	73600000
tt3495030	Dum Laga Ke Haisha	3	2	5	1	2/27/2015	1, 2, 3	7.5	3675795	1000000000
tt4430212	Drishyam	3.875	2	3	6	7/31/2015	2, 17, 8	8.7	7963557	738400000
tt3678782	Badlapur	4.1	4	5	2	2/20/2015	7, 5, 2	7.5	4962589	770000000
tt3398048	Tevar	3.875	2	3	4	1/9/2015	7, 2, 3	4.1	6389609	560000000
tt4110568	Dil Dhadakne Do	3.875	4	3	8	6/5/2015	2, 11, 3	6.8	1972265	1440000000
tt2976182	Roy	2.5	2	5	4	2/11/2015	7, 2, 3	3.2	8033921	580000000
tt2979920	Bombay Velvet	2.5	4	5	12	5/15/2015	5, 2, 8	5.8	6466027	318500000
tt3863552	Bajrangi Bhaijaan	4.1	3.5	3	9	7/17/2015	7, 1, 2	8.1	7237605	6260000000
tt3767372	Piku	4.5	4.5	5	4	5/8/2015	1, 2	7.6	6325192	1115000000
tt3836958	Shamitabh	4.5	3.5	3	2	2/6/2015	1, 2, 8	6.9	3987783	378000000
