Sumit Purohit	4.5
Karan Anshuman	4.5
N/A	2.7
Himanshu Sharma	7.8
Urmi Juvekar	7.8
Dibakar Banerjee	7.8
Saradindu Bandopaddhyay (based on the stories and characters created by)	7.8
Saurabh Bhave	5.7
Vibhu Puri	5.7
Nilesh Girkar	5.8
Mayur Puri (dialogue)	5.6
Remo	5.6
A.R. Murugadoss	7.3
Rajat Arora	7.3
Rajat Arora (dialogue)	7.3
N/A	N/A
Gavin O'Connor (original story)	6.8
Cliff Dorfman (original story)	6.8
Ekta Pathak Malhotra (adapted screenplay)	6.8
Siddharth (dialogue)	6.8
Garima (dialogue)	6.8
Neeraj Pandey	8.2
Subhash Kapoor	5.3
Sharat Katariya	7.5
Jeethu Joseph (original story)	8.7
Upendra Sidhaye (adapted by)	8.7
Arijit Biswas	7.5
Massimo Carlotto (novel)	7.5
Sriram Raghavan	7.5
Pooja Ladha Surti (dialogue)	7.5
Gunasekhar	4.1
Shantanu Srivastava	4.1
Zoya Akhtar (story and screenplay)	6.8
Reema Kagti (story and screenplay)	6.8
Javed Akhtar (dialogue: Pluto Mehra)	6.8
Farhan Akhtar (dialogue)	6.8
Valentine Cawley (scene)	3.2
Vikramjit Singh	3.2
Vasan Bala	5.8
Anurag Kashyap	5.8
Gyan Prakash	5.8
Thani	5.8
Vijayendra Prasad (original story)	8.1
Vijayendra Prasad	8.1
Kabir Khan	8.1
Parveez Sheikh	8.1
Asad Hussain	8.1
Kausar Munir (dialogue)	8.1
Kabir Khan (dialogue)	8.1
Juhi Chaturvedi	7.6
R. Balki	6.9
